uniprot_accession	panther_family_sf
P0AG99	PTHR34182:SF1
P0AGA2	PTHR10906:SF2
P0AGB0	PTHR43344:SF2
P0AGE0	PTHR10302:SF27
P0AGK1	PTHR11048:SF28
P0DJ07	PTHR33968:SF1
P0DP23	PTHR23050:SF531
P10069	PTHR14003:SF19
P10176	PTHR16717:SF1
P10253	PTHR22762:SF92
P10276	PTHR24082:SF115
P10408	PTHR30612:SF0
P10443	PTHR32294:SF0
P10515	PTHR23151:SF90
P10746	PTHR12390:SF0
P10902	PTHR42716:SF2
P11086	PTHR10867:SF18
P11172	PTHR19278:SF9
P11177	PTHR11624:SF96
P11182	PTHR43178:SF5
P11217	PTHR11468:SF32
P11310	PTHR48083:SF2
P11362	PTHR24416:SF131
P11413	PTHR23429:SF0
P11458	PTHR30573:SF0
P11498	PTHR43778:SF2
P11511	PTHR24291:SF43
P11586	PTHR48099:SF1
P11912	PTHR14334:SF1
P11926	PTHR11482:SF42
P11976	PTHR31797:SF3
P12019	PTHR28283:SF1
P12235	PTHR45635:SF32
P12236	PTHR45635:SF13
P12268	PTHR11911:SF121
P12271	PTHR10174:SF200
P12282	PTHR10953:SF194
P12359	PTHR34058
P12644	PTHR11848:SF165
P12694	PTHR43380:SF1
P12931	PTHR24418:SF53
P13016	PTHR30417:SF4
P13035	PTHR11985:SF15
P13196	PTHR13693:SF50
P13716	PTHR11458:SF0
P13773	PTHR23112:SF23
P13804	PTHR43153:SF1
P13807	PTHR10176:SF2
P13929	PTHR11902:SF5
P13995	PTHR48099:SF15
P14324	PTHR11525:SF0
P14618	PTHR11817:SF15
P14681	PTHR24055:SF590
P14778	PTHR11890:SF26
P14902	PTHR28657:SF2
P14927	PTHR12022:SF12
P15042	PTHR23389:SF9
P15056	PTHR44329:SF240
P15104	PTHR20852:SF45
P15254	PTHR10099:SF1
P15259	PTHR11931:SF8
P15289	PTHR42693:SF11
P15395	PTHR11236:SF9
P15538	PTHR24279:SF115
P15586	PTHR43108:SF5
P15639	PTHR11692:SF0
P15640	PTHR43472:SF1
P15735	PTHR24347:SF390
P16051	PTHR10218:SF351
P16219	PTHR43884:SF12
P16278	PTHR23421:SF172
P16456	PTHR10256:SF0
P16635	PTHR10374:SF30
P16892	PTHR24055:SF79
P16930	PTHR43069:SF2
P17115	PTHR42745:SF2
P17174	PTHR11879:SF3
P17252	PTHR24356:SF193
P17405	PTHR10340:SF34
P17489	PTHR11709:SF488
P17516	PTHR11732:SF165
P17568	PTHR20900:SF0
P17707	PTHR11570:SF0
P17735	PTHR45744:SF2
P17752	PTHR11473:SF23
P17846	PTHR11493:SF47
P17900	PTHR17357:SF0
P17948	PTHR24416:SF390
P17993	PTHR43464:SF19
P18079	PTHR13693:SF102
P18133	PTHR11098:SF1
P18335	PTHR11986:SF122
P18843	PTHR23090:SF7
P19099	PTHR24279:SF1
P19367	PTHR19443:SF10
P19404	PTHR10371:SF3
P19438	PTHR46861:SF1
P19440	PTHR11686:SF56
P19622	PTHR24341:SF5
P19623	PTHR11558:SF11
P19636	PTHR39330:SF1
P19793	PTHR24083:SF39
P19971	PTHR10515:SF0
P20061	PTHR10559:SF13
P20062	PTHR10559:SF14
P20674	PTHR14200:SF16
P20711	PTHR11999:SF167
P20839	PTHR11911:SF74
P20945	PTHR11834:SF0
P20966	PTHR30505:SF32
P21156	PTHR43196:SF1
P21359	PTHR10194:SF142
P21369	PTHR11080:SF2
P21549	PTHR21152:SF40
P21589	PTHR11575:SF24
P21673	PTHR10545:SF36
P21695	PTHR11728:SF32
P21860	PTHR24416:SF88
P21893	PTHR30255:SF2
P21912	PTHR11921:SF29
P21953	PTHR42980:SF1
P22022	PTHR22934:SF25
P22033	PTHR48101:SF4
P22102	PTHR10520:SF12
P22234	PTHR43599:SF11
P22304	PTHR45953:SF1
P22307	PTHR24314:SF20
P22557	PTHR13693:SF58
P22680	PTHR24304:SF1
P22695	PTHR11851:SF226
P22830	PTHR11108:SF1
P23109	PTHR11359:SF1
P23378	PTHR11773:SF1
P23434	PTHR11715:SF42
P23458	PTHR45807:SF5
P23526	PTHR23420:SF17
P23721	PTHR43247:SF1
P23786	PTHR22589:SF51
P23830	PTHR12586:SF1
P23845	PTHR23115:SF170
P23871	PTHR11108:SF1
P23883	PTHR11699:SF291
P23893	PTHR43713:SF3
P23909	PTHR11361:SF34
P23919	PTHR10344:SF1
P24186	PTHR48099:SF5
P24311	PTHR16716:SF0
P24752	PTHR18919:SF156
P25054	PTHR12607:SF11
P25534	PTHR43876:SF8
P25535	PTHR43876:SF7
P25705	PTHR48082:SF3
P26287	PTHR33288:SF10
P26439	PTHR10366:SF784
P26440	PTHR43884:SF12
P26494	PTHR36837:SF5
P26495	PTHR43798:SF5
P26496	PTHR36837:SF5
P26602	PTHR38683:SF1
P27352	PTHR10559:SF15
P27544	PTHR12560:SF58
P27708	PTHR11405:SF5
P27745	PTHR11516:SF60
P27746	PTHR43257:SF3
P27747	PTHR43689:SF8
P27986	PTHR10155:SF3
P28328	PTHR48178:SF1
P28331	PTHR11615:SF6
P28482	PTHR24055:SF584
P28845	PTHR44279:SF1
P29317	PTHR24416:SF306
P29373	PTHR11955:SF152
P29401	PTHR43195:SF3
P29466	PTHR47901:SF3
P29474	PTHR19384:SF66
P29597	PTHR45807:SF6
P29680	PTHR21091:SF169
P30011	PTHR32179:SF3
P30038	PTHR14516:SF3
P30043	PTHR43355:SF2
P30049	PTHR13822:SF7
P30084	PTHR11941:SF54
P30138	PTHR10953:SF240
P30519	PTHR10720:SF2
P30566	PTHR43172:SF1
P30613	PTHR11817:SF31
P30748	PTHR33359:SF1
P30793	PTHR11109:SF11
P31040	PTHR11632:SF51
P31057	PTHR20881:SF0
P31213	PTHR10556:SF37
P31327	PTHR11405:SF53
P31641	PTHR11616:SF141
P31663	PTHR21299:SF1
P31749	PTHR24356:SF171
P31751	PTHR24356:SF176
P31930	PTHR11851:SF116
P31937	PTHR22981:SF7
P31939	PTHR11692:SF0
P32131	PTHR13932:SF6
P32173	PTHR19136:SF81
P32320	PTHR11644:SF2
P32322	PTHR11645:SF6
P32754	PTHR11959:SF12
P32929	PTHR11808:SF15
P33221	PTHR43055:SF1
P33316	PTHR11241:SF11
P33770	PTHR13932:SF6
P34059	PTHR42693:SF47
P34099	PTHR24353:SF37
P34762	PTHR36576:SF1
P34896	PTHR11680:SF59
P34897	PTHR11680:SF28
P35222	PTHR45976:SF4
P35270	PTHR44085:SF2
P35401	PTHR14336:SF19
P35475	PTHR12631:SF8
P35510	PTHR10362:SF7
P35520	PTHR10314:SF194
P35557	PTHR19443:SF3
P35573	PTHR10569:SF2
P35575	PTHR12591:SF3
P35670	PTHR43520:SF30
P35790	PTHR22603:SF36
P35914	PTHR42738:SF1
P35968	PTHR24416:SF45
P36551	PTHR10755:SF0
P36553	PTHR10755:SF0
P36871	PTHR22573:SF37
P36957	PTHR43416:SF18
P37058	PTHR43899:SF7
P37268	PTHR11626:SF2
P37287	PTHR45871:SF3
P37610	PTHR30468:SF1
P37758	PTHR23515:SF6
P37773	PTHR43445:SF5
P37837	PTHR10683:SF18
P37906	PTHR13847:SF275
P38038	PTHR19384:SF128
P38043	PTHR30024:SF7
P38044	PTHR30151:SF7
P38045	PTHR42788:SF7
P38046	PTHR42788:SF7
P38093	PTHR10845:SF192
P38117	PTHR21294:SF8
P39458	PTHR43105:SF9
P39648	PTHR43679:SF2
P39656	PTHR10830:SF0
P39823	PTHR14269:SF59
P39829	PTHR30536:SF1
P40189	PTHR23036:SF83
P40259	PTHR14334:SF2
P40763	PTHR11801:SF2
P40855	PTHR12774:SF2
P40925	PTHR23382:SF3
P40926	PTHR11540:SF16
P40939	PTHR43612:SF7
P41793	PTHR11699:SF68
P41796	PTHR40089:SF1
P42068	PTHR11358:SF35
P42224	PTHR11801:SF18
P42357	PTHR10362:SF7
P42433	PTHR43429:SF3
P42434	PTHR43742:SF2
P42523	PTHR31341:SF4
P42765	PTHR18919:SF145
P42898	PTHR45754:SF3
P43251	PTHR10609:SF14
P43304	PTHR11985:SF29
P43403	PTHR24418:SF369
P43405	PTHR24418:SF231
P43490	PTHR43816:SF1
P43601	PTHR11227:SF17
P43694	PTHR10071:SF154
P43885	PTHR43761:SF1
P45395	PTHR42745:SF1
P45568	PTHR30525:SF0
P45578	PTHR35799:SF1
P45597	PTHR46244:SF6
P45954	PTHR43884:SF1
P45983	PTHR24055:SF222
P45985	PTHR48013:SF29
P46019	PTHR10749:SF5
P46020	PTHR10749:SF4
P46531	PTHR45836:SF12
P46597	PTHR11746:SF199
P46734	PTHR48013:SF21
P46952	PTHR15497:SF1
P46976	PTHR11183:SF164
P46977	PTHR13872:SF43
P47804	PTHR24240:SF90
P47985	PTHR10134:SF20
P47989	PTHR11908:SF80
P48047	PTHR11910:SF21
P48201	PTHR10031:SF59
P48431	PTHR10270:SF231
P48449	PTHR11764:SF20
P48506	PTHR11164:SF0
P48507	PTHR13295:SF4
P48637	PTHR11130:SF0
P48728	PTHR43757:SF16
P48729	PTHR11909:SF84
P48736	PTHR10048:SF34
P48775	PTHR10138:SF0
P49247	PTHR11934:SF0
P49327	PTHR43775:SF7
P49354	PTHR11129:SF5
P49356	PTHR11774:SF6
P49419	PTHR43521:SF5
P49448	PTHR11606:SF15
P49585	PTHR10739:SF19
P49591	PTHR11778:SF7
P49675	PTHR46489:SF1
P49748	PTHR43884:SF11
P49821	PTHR11780:SF10
P49841	PTHR24057:SF8
P49902	PTHR12103:SF17
P49903	PTHR10256:SF2
P49915	PTHR11922:SF2
P50053	PTHR43085:SF55
P50336	PTHR42923:SF3
P50416	PTHR22589:SF74
P50542	PTHR10130:SF2
P50747	PTHR12835:SF5
P51570	PTHR10457:SF7
P51649	PTHR43353:SF5
P51659	PTHR13078:SF56
P51688	PTHR43108:SF6
P51692	PTHR11801:SF39
P51857	PTHR11732:SF211
P51970	PTHR13344:SF0
P52209	PTHR11811:SF50
P52564	PTHR48013:SF12
P52630	PTHR11801:SF41
P52788	PTHR46315:SF2
P53004	PTHR43377:SF1
P53007	PTHR45788:SF4
P53396	PTHR23118:SF42
P53599	PTHR48016:SF32
P53602	PTHR10977:SF3
P53609	PTHR11774:SF4
P53611	PTHR11774:SF11
P53855	PTHR13190:SF1
P54368	PTHR10279:SF8
P54511	PTHR43679:SF2
P54657	PTHR38083:SF1
P54661	PTHR35884:SF1
P54687	PTHR11825:SF70
P54760	PTHR24416:SF296
P54802	PTHR12872:SF1
P54803	PTHR15172:SF1
P54840	PTHR10176:SF1
P54868	PTHR43323:SF1
P54886	PTHR11063:SF8
P55084	PTHR18919:SF147
P55211	PTHR10454:SF157
P56381	PTHR12448:SF1
P56556	PTHR12964:SF6
P56589	PTHR28080:SF1
P56601	PTHR42923:SF3
P56704	PTHR12027:SF88
P57054	PTHR46346:SF1
P57772	PTHR43721:SF11
P59300	PTHR23342:SF0
P59308	PTHR32338:SF10
P59319	PTHR11986:SF113
P59344	PTHR36570:SF3
P59345	PTHR36570:SF3
P59392	PTHR10256:SF0
P59400	PTHR21256:SF2
P59479	PTHR33516:SF2
P59604	PTHR11587:SF2
P59612	PTHR23100:SF0
P59618	PTHR43814:SF1
P60174	PTHR21139:SF24
P60716	PTHR10949:SF0
P60720	PTHR10993:SF7
P60891	PTHR10210:SF118
P61457	PTHR12599:SF13
P61586	PTHR24072:SF153
P61803	PTHR10705:SF0
P62615	PTHR43527:SF2
P62617	PTHR43181:SF1
P62620	PTHR30454:SF0
P62623	PTHR30426:SF0
P62993	PTHR46037:SF4
P63228	PTHR42891:SF1
P65117	PTHR33370:SF1
P71079	PTHR42760:SF115
P73133	PTHR11986:SF79
P75851	PTHR30151:SF38
P75853	PTHR30024:SF42
P75919	PTHR21248:SF12
P75949	PTHR30480:SF13
P76038	PTHR43235:SF1
P76215	PTHR15162:SF7
P76216	PTHR30420:SF2
P76217	PTHR11699:SF299
P76658	PTHR46969:SF1
P77488	PTHR43322:SF5
P77570	PTHR30605:SF0
P77581	PTHR11986:SF113
P77973	PTHR11587:SF2
P78061	PTHR43785:SF12
P78330	PTHR43344:SF2
P78382	PTHR10231:SF66
P78540	PTHR43782:SF4
P78714	PTHR47172:SF24
P80357	PTHR30420:SF1
P80358	PTHR30420:SF1
P80365	PTHR43313:SF2
P80404	PTHR43206:SF1
P80644	PTHR43408:SF1
P80645	PTHR42847:SF4
P84022	PTHR13703:SF53
P92994	PTHR47948:SF4
P96956	PTHR11102:SF160
P99999	PTHR11961:SF29
P9WJ02	PTHR32439:SF0
P9WN45	PTHR43651:SF3
P9WPA1	PTHR34265:SF1
P9WQ17	PTHR47786:SF2
P9WQ19	PTHR10357:SF219
Q00266	PTHR11964:SF11
Q00325	PTHR45671:SF10
Q00743	PTHR10218:SF302
Q00914	PTHR24960:SF79
Q00973	PTHR15046:SF1
Q01371	PTHR47429:SF7
Q01432	PTHR11359:SF2
Q01433	PTHR11359:SF3
Q01581	PTHR43323:SF4
Q01860	PTHR11636:SF86
Q02127	PTHR48109:SF4
Q02221	PTHR11504:SF1
Q02252	PTHR43866:SF3
Q02318	PTHR24291:SF6
Q02338	PTHR43313:SF25
Q02978	PTHR45618:SF9
Q03100	PTHR45627:SF12
Q03393	PTHR12589:SF7
Q03426	PTHR43290:SF2
Q04446	PTHR43651:SF3
Q04512	PTHR13693:SF102
Q04656	PTHR43520:SF29
Q05329	PTHR45677:SF11
Q05397	PTHR24418:SF78
Q05925	PTHR24341:SF4
Q06136	PTHR43550:SF3
Q06187	PTHR24418:SF92
Q06203	PTHR11907:SF20
Q06210	PTHR10937:SF12
Q07326	PTHR43157:SF31
Q08426	PTHR23309:SF49
Q0WW17	PTHR13533:SF48
Q12142	PTHR13038:SF10
Q12778	PTHR45767:SF1
Q12882	PTHR43073:SF2
Q12933	PTHR10131:SF21
Q13043	PTHR48015:SF32
Q13057	PTHR10695:SF46
Q13085	PTHR45728:SF5
Q13163	PTHR48013:SF9
Q13164	PTHR24055:SF561
Q13233	PTHR24361:SF414
Q13451	PTHR10516:SF26
Q13454	PTHR12692:SF1
Q13510	PTHR28583:SF1
Q13546	PTHR44329:SF6
Q13608	PTHR23077:SF9
Q13635	PTHR46022:SF5
Q13825	PTHR11941:SF12
Q13907	PTHR10885:SF5
Q14032	PTHR10824:SF18
Q14117	PTHR11647:SF50
Q14376	PTHR43725:SF47
Q14442	PTHR15231:SF1
Q14469	PTHR10985:SF153
Q14534	PTHR10835:SF0
Q14693	PTHR12181:SF10
Q14749	PTHR16458:SF2
Q14790	PTHR10454:SF162
Q15067	PTHR10909:SF250
Q15125	PTHR14207:SF0
Q15126	PTHR13101:SF1
Q15274	PTHR32179:SF3
Q15465	PTHR11889:SF36
Q15738	PTHR10366:SF564
Q15796	PTHR13703:SF42
Q15800	PTHR11863:SF225
Q16134	PTHR10617:SF107
Q16222	PTHR11952:SF4
Q16518	PTHR10543:SF57
Q16539	PTHR24055:SF110
Q16613	PTHR10908:SF0
Q16620	PTHR24416:SF136
Q16718	PTHR12653:SF0
Q16719	PTHR14084:SF0
Q16739	PTHR12726:SF0
Q16795	PTHR12126:SF10
Q16831	PTHR43691:SF10
Q16836	PTHR43561:SF3
Q16850	PTHR24286:SF191
Q16851	PTHR43511:SF4
Q16854	PTHR10513:SF8
Q16878	PTHR12918:SF1
Q16880	PTHR48043:SF54
Q23868	PTHR24221:SF395
Q23917	PTHR11347:SF226
Q2FZP6	PTHR23135:SF4
Q2TAA5	PTHR45919:SF1
Q2TAZ0	PTHR13190:SF21
Q330K2	PTHR21181:SF13
Q38890	PTHR22298:SF185
Q39165	PTHR33203:SF32
Q3AK30	PTHR30454:SF0
Q3LXA3	PTHR28629:SF4
Q3MUY2	PTHR39235:SF1
Q42524	PTHR24096:SF352
Q42600	PTHR47945:SF5
Q44315	PTHR10357:SF216
Q44316	PTHR43651:SF11
Q46810	PTHR43777:SF1
Q46868	PTHR38040:SF1
Q46893	PTHR32125:SF4
Q47537	PTHR30024:SF47
Q47538	PTHR42788:SF18
Q47539	PTHR30151:SF25
Q4G0N4	PTHR13158:SF5
Q51371	PTHR22990:SF15
Q51392	PTHR13285:SF23
Q51553	PTHR43194:SF5
Q53229	PTHR40255:SF1
Q53GQ0	PTHR43899:SF14
Q54ER9	PTHR14312:SF7
Q54FI3	PTHR45681:SF6
Q54FI4	PTHR43747:SF5
Q54QV3	PTHR24058:SF17
Q54RR8	PTHR28242:SF52
Q54U87	PTHR43719:SF10
Q54V07	PTHR31341:SF18
Q54WA7	PTHR12537:SF12
Q54XG7	PTHR14312:SF1
Q54YG2	PTHR31797:SF8
Q551V8	PTHR43642:SF2
Q553Y7	PTHR11920:SF335
Q59695	PTHR43798:SF33
Q59696	PTHR43161:SF26
Q5B9N8	PTHR28189:SF1
Q5BBX1	PTHR33572:SF18
Q5BH99	PTHR19850
Q5BKT4	PTHR12989:SF11
Q5FXM5	PTHR23310:SF62
Q5H8A4	PTHR23072:SF0
Q5HYK3	PTHR43591:SF24
Q5JHF1	PTHR42282:SF1
Q5JIZ8	PTHR40695:SF1
Q5JTJ3	PTHR46690:SF1
Q5QJU3	PTHR46139:SF1
Q5RI15	PTHR31586:SF2
Q5T2R2	PTHR12001:SF78
Q5T9L3	PTHR13449:SF2
Q5TEU4	PTHR13090:SF1
Q5U117	PTHR48083:SF2
Q5U5X0	PTHR46749:SF1
Q63HM1	PTHR23024:SF574
Q68CP4	PTHR31061:SF37
Q6DKK2	PTHR13143:SF6
Q6FAK7	PTHR36701:SF1
Q6FFQ0	PTHR43353:SF3
Q6NUK1	PTHR24089:SF262
Q6NVY1	PTHR43176:SF15
Q6QHF9	PTHR10742:SF405
Q6UW78	PTHR36465:SF1
Q6UWS5	PTHR28163:SF1
Q6Y1H2	PTHR11035:SF17
Q70HW3	PTHR45667:SF9
Q75T13	PTHR15495:SF7
Q7JR58	PTHR11941:SF54
Q7L592	PTHR12049:SF7
Q7LG56	PTHR23409:SF19
Q7X9A6	PTHR10134
Q7Z3C6	PTHR13038:SF13
Q7Z412	PTHR16262:SF2
Q7Z7B1	PTHR20661:SF0
Q84JA6	PTHR13301:SF91
Q86SQ9	PTHR10291:SF43
Q86VD7	PTHR24089:SF736
Q86VZ5	PTHR21290:SF28
Q86WW8	PTHR28627:SF1
Q86XE5	PTHR12128:SF66
Q86Y39	PTHR21382:SF1
Q86YH6	PTHR12001:SF55
Q86YN1	PTHR11247:SF1
Q88C17	PTHR22912:SF151
Q88C19	PTHR21248:SF22
Q88C31	PTHR11070:SF2
Q88C32	PTHR23429:SF0
Q88C36	PTHR48095:SF1
Q88C37	PTHR43778:SF2
Q88C47	PTHR23046:SF2
